,source,target,weight
346,Cahir,Dandelion,9
347,Geralt,Two,5
348,Ethain,Geralt,3
349,Cahir,Ethain,3
350,Munro,Percival,6
351,Figgis,Geralt,6
352,Ciri,Zoltan,7
353,Caleb,Ciri,6
354,Cahir,Vesemir,1
355,Cahir,Mawr,5
356,Dyffryn,Mawr,6
357,Cahir,Two,9
358,Blood,Geralt,4
359,Cahir,Morteisen,4
360,Geralt,Morteisen,5
361,Geralt,Meve,14
362,Meve,Milva,5
