,source,target,weight
314,Berengar,Vattier,1
315,Stefan,Vattier,5
316,Emhyr,Torres,5
317,Foltest,Meve,4
318,Meve,Roegner,5
319,Pavetta,Roegner,11
320,Esterad,Zuleyka,3
321,Ciri,Zuleyka,5
322,Ciri,Coram,2
323,Coram,Corbett,6
324,Corbett,Dagorad,6
325,Dagorad,Roegner,6
326,Pavetta,Philippa,3
327,Cairbre,Orestes,5
328,Istvan,Orestes,3
329,Istvan,Vascoigne,1
330,Foltest,Julia,6
331,Henselt,Lorenzo,4
332,Henselt,Radovid,3
333,Eurneid,Milo,1
334,Philippa,Sigismund,4
335,Sigismund,Willemer,4
336,Jarre,Lucienne,65
337,Lucienne,Two,3
338,Jarre,Toruviel,1
339,Lucienne,Toruviel,5
340,Boreas,Meve,2
341,Bertram,Stefan,13
342,Edmund,Jean,2
343,Nicodemus,Vilgefortz,3
344,Albert,Nicodemus,4
345,Philippa,Willemer,6
346,Boreas,Willemer,4
347,Goulue,Nycklar,6
348,Ciri,Falka,5
349,Geralt,Pegasus,6
350,Dandelion,Pegasus,6
351,Ciri,Reynart,14
352,Two,Yennefer,4
353,Margarita,Yennefer,13
354,Assire,Margarita,6
355,Ciri,Philippa,37
356,Ciri,Francesca,18
357,Francesca,Yennefer,11
358,Tissaia,Yennefer,25
359,Assire,Yennefer,5
360,Ciri,Esterad,3
361,Cirilla,Philippa,2
362,Lara,Yennefer,2
363,Sabrina,Yennefer,13
364,Geralt,Margarita,17
365,Geralt,Keira,4
366,Geralt,Sabrina,2
367,Margarita,Tissaia,5
368,Francesca,Tissaia,5
369,Dandelion,Two,3
370,Dandelion,Nadia,1
371,Geralt,Yarpen,23
372,Dandelion,Yarpen,12
373,Milva,Zoltan,5
374,Figgis,Zoltan,5
375,Figgis,Munro,17
376,Munro,Yazon,4
377,Yazon,Zoltan,6
378,Caleb,Zoltan,8
379,Caleb,Yazon,5
380,Regan,Yazon,5
381,Regan,Yarpen,10
382,Dandelion,Zoltan,4
383,Eudora,Yarpen,9
384,Ciri,Yarpen,5
385,Geralt,Zoltan,8
386,Cerro,Yarpen,3
387,Cerro,Geralt,6
388,Dandelion,Schrader,6
389,Geralt,Schrader,5
390,Ciri,Zoltan,5
391,Eudora,Zoltan,3
392,Eudora,Geralt,2
393,Eskel,Geralt,5
394,Geralt,Vesemir,9
395,Lambert,Vesemir,2
396,Eskel,Vesemir,4
397,Ciri,Triss,14
398,Triss,Yennefer,71
399,Kelpie,Triss,5
400,Alzur,Yennefer,12
401,Nimue,Triss,3
402,Dandelion,Yennefer,2
403,Geralt,Triss,12
404,Dandelion,Kelpie,5
405,Milva,Triss,4
406,Triss,Yarpen,5
407,Caleb,Lytta,5
408,Ciri,Lytta,2
409,Eurneid,Yarpen,6
410,Vesemir,Yarpen,6
411,Milva,Vesemir,6
412,Ciri,Galahad,5
